Match ID,Season,Competition,Home,Away,Score,Event Type,Team,Player,Roblox ID,Count,Notes
EL1-GW4-02,S1,EuroLeague,Milton,Nottingham,0-3,Yellow Card,Milton,sc_16x,200344976,1,
EL1-GW4-02,S1,EuroLeague,Milton,Nottingham,0-3,MOTM,Nottingham,edvzar,229382886,1,
EL1-GW4-03,S1,EuroLeague,Andover,Viola,8-0,Goal,Andover,cornzua,111729984,2,
EL1-GW4-03,S1,EuroLeague,Andover,Viola,8-0,Goal,Andover,ahttuso,596543819,3,Hat-trick
EL1-GW4-03,S1,EuroLeague,Andover,Viola,8-0,Goal,Andover,booskioo,25796457,3,Hat-trick
EL1-GW4-03,S1,EuroLeague,Andover,Viola,8-0,Assist,Andover,rykiraa,104144813,6,6 assists
EL1-GW4-03,S1,EuroLeague,Andover,Viola,8-0,Red Card,Viola,VoidLDN,1041962471,1,
EL1-GW4-03,S1,EuroLeague,Andover,Viola,8-0,MOTM,Andover,booskioo,25796457,1,
EL1-GW4-04,S1,EuroLeague,Stafford,Newham,0-3,FFT,—,—,,0,No stats - forfeit
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Goal,Andover,rykiraa,104144813,3,Hat-trick
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Goal,Andover,asviraaa,141934518,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Goal,Andover,Gokinho_17,75157575,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Assist,Andover,rykiraa,104144813,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Assist,Andover,ahttuso,596543819,2,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Assist,Andover,vexzema,508865433,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Assist,Andover,Gokinho_17,75157575,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Yellow Card,Newport,MajinCrew,1056227705,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Yellow Card,Newport,tr_ito,594588203,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,Yellow Card,Newport,HitboxExpandrr,1098693605,1,
EL1-GW5-01,S1,EuroLeague,Newport,Andover,0-5,MOTM,Andover,rykiraa,104144813,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Goal,Viola,wqmh,418257196,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Goal,Viola,mateiryan,1252031180,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Goal,Milton,harmoush,140245581,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Goal,Milton,RememberPastGlory,46117833,2,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Goal,Milton,SamuuFrost,96811022,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Assist,Viola,wqmh,418257196,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Assist,Viola,mateiryan,1252031180,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Assist,Milton,SamuuFrost,96811022,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Assist,Milton,PhilipNeame,10210691,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Yellow Card,Viola,Iuizdias,1204609210,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,Yellow Card,Milton,RememberPastGlory,46117833,1,
EL1-GW5-02,S1,EuroLeague,Viola,Milton,2-4,MOTM,Milton,RememberPastGlory,46117833,1,
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,Goal,Eltham,saIihamidzic,78717354,1,
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,Goal,Eltham,harmoush,140245581,2,
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,OG,Stafford,zhanedem,,1,⚠️ No Roblox ID - Own Goal
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,Assist,Eltham,harmoush,140245581,1,
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,Red Card,Stafford,deuIofeuz,16898061,1,
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,Yellow Card,Stafford,cavocic,4409906576,1,
EL1-GW5-03,S1,EuroLeague,Eltham,Stafford,4-0,MOTM,Eltham,MemeScythe,869138706,1,
EL1-GW5-04,S1,EuroLeague,Newham,Nottingham,0-2,Goal,Nottingham,A_etherius,104835988,2,
EL1-GW5-04,S1,EuroLeague,Newham,Nottingham,0-2,Assist,Nottingham,Oli2Cxrtii,37156558,1,
EL1-GW5-04,S1,EuroLeague,Newham,Nottingham,0-2,Red Card,Newham,paxbizzle,61178069,1,
EL1-GW5-04,S1,EuroLeague,Newham,Nottingham,0-2,Yellow Card,Newham,Jack924833,1156742,1,
EL1-GW5-04,S1,EuroLeague,Newham,Nottingham,0-2,MOTM,Nottingham,CapV7,60642460,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Goal,Andover,ahttuso,596543819,4,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Goal,Andover,rykiraa,104144813,2,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Goal,Andover,vexzema,508865433,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Goal,Andover,rykiraa,104144813,1,may be different player
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Goal,Milton,wizente,521142485,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Goal,Milton,duburnn,99534263,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Assist,Andover,rykiraa,104144813,2,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Assist,Andover,ahttuso,596543819,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Assist,Andover,vexzema,508865433,2,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Assist,Andover,vnpthu,18925142,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Assist,Milton,StrictlyHighGrade,104507792,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Assist,Milton,wizente,521142485,1,
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,Yellow Card,Andover,rykiraa,104144813,1,excessive :M usage
EL1-GW6-01,S1,EuroLeague,Milton,Andover,2-8,MOTM,Andover,ahttuso,596543819,1,
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Goal,Nottingham,A_etherius,104835988,1,
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Goal,Nottingham,Oli2Cxrtii,37156558,1,
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Goal,Nottingham,edvzar,229382886,1,
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Assist,Nottingham,edvzar,229382886,2,
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Assist,Nottingham,Oli2Cxrtii,37156558,1,
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Yellow Card,Nottingham,CapV7,60642460,1,Time wasting
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Yellow Card,Nottingham,A_etherius,104835988,1,Foul play
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Yellow Card,Nottingham,Oli2Cxrtii,37156558,1,Sliding referee
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Yellow Card,Nottingham,8ackyy,1025293008,1,Foul play
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,Yellow Card,Eltham,harmoush,140245581,1,Foul play
EL1-GW6-02,S1,EuroLeague,Nottingham,Eltham,3-0,MOTM,Nottingham,edvzar,229382886,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Goal,Viola,VoidLDN,1041962471,2,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Goal,Viola,mateiryan,1252031180,2,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Goal,Viola,wqmh,418257196,2,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Goal,Newham,VegSPlayz,3137843516,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Assist,Viola,wqmh,418257196,2,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Assist,Viola,VoidLDN,1041962471,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Assist,Viola,b4adumata,94854873,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Assist,Viola,mateiryan,1252031180,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Assist,Newham,KiahhFOJ,7738657944,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Yellow Card,Viola,V3d_Dev,429786813,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Yellow Card,Viola,Iuizdias,1204609210,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Yellow Card,Newham,VegSPlayz,3137843516,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,Red Card,Newham,bovchenko,2938101088,1,
EL1-GW6-03,S1,EuroLeague,Viola,Newham,6-1,MOTM,Viola,wqmh,418257196,1,
EL1-NTS-01,S1,EuroLeague,Nottingham,Stafford,1-1,Goal,Nottingham,A_etherius,104835988,1,Euro League sheet
EL1-NTS-01,S1,EuroLeague,Nottingham,Stafford,1-1,Goal,Stafford,TheyCallMeCh0sen,,1,⚠️ No Roblox ID · Euro League sheet
EL1-NTS-01,S1,EuroLeague,Nottingham,Stafford,1-1,Assist,Nottingham,8ackyy,1025293008,1,Euro League sheet
EL1-NTS-01,S1,EuroLeague,Nottingham,Stafford,1-1,Assist,Stafford,yousef5767,,1,⚠️ No Roblox ID · Euro League sheet
EL1-NTS-01,S1,EuroLeague,Nottingham,Stafford,1-1,MOTM,Stafford,barbkoumpo,679815091,1,Euro League sheet MOTM
EL1-GW7-01,S1,EuroLeague,Andover,Newham,9-0,Goal,Andover,ahttuso,596543819,3,Hat-trick
EL1-GW7-01,S1,EuroLeague,Andover,Newham,9-0,Goal,Andover,booskioo,25796457,3,Hat-trick
EL1-GW7-01,S1,EuroLeague,Andover,Newham,9-0,Assist,Andover,Gokinho_17,75157575,2,
EL1-GW7-01,S1,EuroLeague,Andover,Newham,9-0,Assist,Andover,ahttuso,596543819,1,
EL1-GW7-01,S1,EuroLeague,Andover,Newham,9-0,Yellow Card,Newham,Deleted User,,1,⚠️ DELETED USER
EL1-GW7-01,S1,EuroLeague,Andover,Newham,9-0,MOTM,Andover,booskioo,25796457,1,
EL1-GW7-02,S1,EuroLeague,Newport,Milton,0-3,FFT,—,—,,0,Forfeit
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Goal,Viola,ariu,,1,⚠️ No Roblox ID
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Goal,Eltham,harmoush,140245581,2,
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Goal,Eltham,kingcharzuki,200570168,1,
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Assist,Viola,VoidLDN,1041962471,1,
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Assist,Eltham,Teskid10,588273151,1,
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Assist,Eltham,harmoush,140245581,1,
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,Yellow Card,Eltham,harmoush,140245581,1,
EL1-GW7-03,S1,EuroLeague,Viola,Eltham,1-3,MOTM,Viola,Kamilica_Nero,,1,⚠️ No Roblox ID · Euro League sheet
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Goal,Andover,ahttuso,596543819,4,3 goals + 1 pen?
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Goal,Andover,booskioo,25796457,1,
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Goal,Andover,markez1222,171868925,1,
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Goal,Viola,dogzi,,1,⚠️ No Roblox ID
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Assist,Viola,harshflux,1107538966,1,
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Assist,Andover,Gokinho_17,75157575,2,
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Red Card,Viola,bally,,1,⚠️ No Roblox ID
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,Red Card,Viola,al,,1,⚠️ Cannot find user per original
EP1-QF-01,S1,EuroBlox Playoffs,Andover,Viola,7-1,MOTM,Andover,ahttuso,596543819,1,
EP1-QF-03,S1,EuroBlox Playoffs,Milton,Stafford,5-1,Goal,Milton,cornzua,111729984,2,
EP1-QF-03,S1,EuroBlox Playoffs,Milton,Stafford,5-1,Goal,Milton,wizente,521142485,1,
EP1-QF-03,S1,EuroBlox Playoffs,Milton,Stafford,5-1,Goal,Milton,duburnn,99534263,2,
EP1-QF-03,S1,EuroBlox Playoffs,Milton,Stafford,5-1,Goal,Stafford,barbkoumpo,679815091,1,
EP1-QF-03,S1,EuroBlox Playoffs,Milton,Stafford,5-1,Assist,Milton,wizente,521142485,2,
EP1-QF-03,S1,EuroBlox Playoffs,Milton,Stafford,5-1,Assist,Milton,sc_17x,,1,⚠️ No Roblox ID in archive; add if known
